Time in (s)
744
825
2409
341
392
1579
87
3565
606
634
404
345
669
262
109
1178
83
61
1681
233
437
260
967
947
365
1588
2889
1550
1015
2155
523
1130
151
5
1193
501
239
586
269
537
156
1718
632
1483
120
1053
2363
674
569
37
1386
1845
1114
118
162
1700
1815
1162
248
424
441
323
134
147
258
637
436
1132
309
1740
1324
1231
81
210
1060
46
1007
337
3084
890
958
137
206
147
1585
38
2116
55
808
1358
1800
911
644
1024
1775
687
2532
792
26
1680
